season,team1,team2,winner
2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2007/08,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2007/08,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
2007/08,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
2007/08,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
2007/08,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2007/08,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2007/08,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
2007/08,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2007/08,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2007/08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2007/08,Mumbai Indians,Deccan Chargers,Deccan Chargers
2007/08,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2007/08,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2007/08,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2007/08,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
2007/08,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2007/08,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2007/08,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
2007/08,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
2007/08,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
2007/08,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2007/08,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2007/08,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2007/08,Chennai Super Kings,Deccan Chargers,Deccan Chargers
2007/08,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2007/08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2007/08,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
2007/08,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2007/08,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
2007/08,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2007/08,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2007/08,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2007/08,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2007/08,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
2007/08,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2007/08,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2007/08,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2007/08,Deccan Chargers,Mumbai Indians,Mumbai Indians
2007/08,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2007/08,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
2007/08,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2007/08,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2007/08,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
2007/08,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2007/08,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2007/08,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2007/08,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
2007/08,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
2007/08,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2007/08,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2007/08,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2007/08,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
2009,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers
2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers
